pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
22.0,2023-03-04 10:00:00,9.9,57.0,7.6
25.0,2023-03-02 16:00:00,6.9,65.0,4.8
22.0,2023-03-04 05:00:00,-1.2,95.0,7.2
10.0,2023-03-09 00:00:00,7.3,85.0,18.8
24.0,2023-03-05 00:00:00,1.4,83.0,5.4
49.0,2023-02-23 19:00:00,6.3,92.0,5.6
25.0,2023-02-24 13:00:00,12.8,54.0,24.1
52.0,2023-02-22 18:00:00,9.2,79.0,6.1
15.0,2023-03-10 22:00:00,4.668407310704956,77.81462140992167,9.1639686684073
15.0,2023-02-27 20:00:00,0.2,68.0,8.5
21.0,2023-02-28 14:00:00,3.4,59.0,8.0
24.0,2023-03-01 02:00:00,0.8,75.0,8.8
33.0,2023-03-04 08:00:00,4.9,81.0,6.5
36.0,2023-03-04 22:00:00,2.3,83.0,7.4
15.0,2023-02-27 08:00:00,0.4,58.0,18.5
53.0,2023-02-23 21:00:00,4.2,94.0,7.2
57.0,2023-02-22 20:00:00,7.0,85.0,5.4
20.0,2023-02-28 08:00:00,0.2,77.0,5.7
30.0,2023-03-01 12:00:00,3.1,77.0,11.5
36.0,2023-03-04 21:00:00,3.0,81.0,6.9
28.0,2023-03-07 12:00:00,6.0,81.0,4.7
6.0,2023-03-14 10:00:00,4.668407310704956,77.81462140992167,9.1639686684073
19.0,2023-02-28 02:00:00,-0.9,77.0,5.6
22.0,2023-03-10 20:00:00,4.668407310704956,77.81462140992167,9.1639686684073
13.0,2023-03-10 17:00:00,4.668407310704956,77.81462140992167,9.1639686684073
3.0,2023-03-09 10:00:00,14.0,61.0,19.0
9.0,2023-03-14 04:00:00,4.668407310704956,77.81462140992167,9.1639686684073
23.0,2023-03-08 01:00:00,2.6,93.0,7.2
24.0,2023-02-25 03:00:00,5.1,89.0,17.7
33.0,2023-02-24 06:00:00,-0.7,96.0,9.7
31.0,2023-02-23 03:00:00,1.5,95.0,4.0
34.0,2023-03-06 14:00:00,9.0,58.0,5.2
28.0,2023-03-07 05:00:00,1.4,98.0,4.1
20.0,2023-03-10 19:00:00,4.668407310704956,77.81462140992167,9.1639686684073
46.0,2023-03-13 20:00:00,4.668407310704956,77.81462140992167,9.1639686684073
32.0,2023-03-08 10:00:00,10.2,68.0,11.7
5.0,2023-03-15 15:00:00,4.668407310704956,77.81462140992167,9.1639686684073
3.0,2023-02-26 18:00:00,2.1,53.0,18.1
43.0,2023-02-23 12:00:00,9.8,73.0,3.1
3.0,2023-03-14 13:00:00,4.668407310704956,77.81462140992167,9.1639686684073
4.0,2023-03-16 05:00:00,4.668407310704956,77.81462140992167,9.1639686684073
29.0,2023-02-23 04:00:00,1.0,95.0,4.0
24.0,2023-02-22 09:00:00,7.8,78.0,3.6
42.0,2023-03-07 16:00:00,8.7,70.0,10.6
25.0,2023-03-01 09:00:00,1.6,75.0,12.1
35.0,2023-02-28 20:00:00,1.6,74.0,6.6
23.0,2023-03-07 10:00:00,4.2,86.0,3.1
